ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ	DE
82181	SSTISAGEMA_J050618.98-645610.2	SSTM1SAGE1_J050618.94-645610.5	0	0	1537848445	1529342854	0	76.579095	-64.936185	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.67	0.029	11.68	0.025	11.293	0.024	10.879	0.022	10.971	0.021	10.801	0.025	10.507	0.024	10.1	0.077	47	47	               KDM 1966	    CAGB	76.5788	-64.9363	22410496	40159	      Kemper										2MASS J05061897-6456102	12.67	11.68	11.293					SSTISAGEMA J050618.98-645610.2	10.864	10.9678	10.792	10.5052	0.01268	0.00737	0.0055	0.0041																		-3.77			0	47	KDM 1966                 	MC J050618.98-645610.2							C-AGB          	05 06 18.95	-64 56 10.88
50913	SSTISAGEMA_J050620.12-645458.6	SSTM1SAGE1_J050620.11-645458.8	0	0	1537850458	1529280071	0	76.583844	-64.916305	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	11.859	0.03	10.706	0.029	10.086	0.023	9.325	0.034	9.401	0.018	9.331	0.024	8.749	0.02	8.629	0.029	48	48		    CAGB	76.5838	-64.9161	22410752	40159	      Kemper										2MASS J05062012-6454585	11.859	10.706	10.086					SSTISAGEMA J050620.12-645458.6	9.3259	9.4146	9.3313	8.768	0.05226	0.03081	0.0213	0.0202	SSTM1SAGE1 J050620.11-645458.8	8.6527	0.0025															-4.89			0	48		MC J050620.12-645458.6							C-AGB          	05 06 20.13	-64 54 58.01
81619	SSTISAGEMA_J050629.61-685534.9	SSTM1SAGE1_J050629.49-685534.1	0	1003945715	1537867090	1529334987	1608370942	76.623378	-68.926371	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.89	0.01	11.75	0.01	11.06	0.01	10.236	0.025	10.403	0.022	10.531	0.027	9.846	0.022	10	0.097	49	49		    CAGB	76.6236	-68.9263	22411008	40159	      Kemper					OGLE-LMC-LPV-17926	17.773	14.898	0.077	154.42	2MASS J05062960-6855348	12.875	11.604	11.012	05062961-6855348	12.89	11.75	11.06	SSTISAGEMA J050629.61-685534.9	10.24	10.4103	10.5315	9.8704	0.02252	0.01232	0.007	0.0073	SSTM1SAGE1 J050629.49-685534.1	10.0002	0.0007															-3.92			0	49		MC J050629.61-685534.9	1.4174.40    	261	267		LPV.-17926	154	C-AGB          	05 06 29.62	-68 55 34.54
12439	SSTISAGEMA_J050826.35-683115.1	SSTM1SAGE1_J050826.34-683115.4	105338899	1004389326	1538074887	1529270394	1608647583	77.109795	-68.520869	99.999	99.999	21.877	0.345	19.635	0.128	15.845	0.048	13.48	0.01	11.98	0.01	10.77	0.02	9.359	0.031	8.878	0.033	8.366	0.02	7.902	0.019	7.395	0.023	55	55		    CAGB	77.1097	-68.5208	22412288	40159	      Kemper		21.877	19.635	15.845	OGLE-LMC-LPV-20709	20.103	16.864	1.202	400	2MASS J05082637-6831150	15.342	13.319	11.744	05082636-6831151	13.48	11.98	10.77	SSTISAGEMA J050826.35-683115.1	9.3642	8.8821	8.3654	7.918	0.05045	0.05032	0.0518	0.0442	SSTM1SAGE1 J050826.34-683115.4	7.3631	0.0081															-4.51			0	55		MC J050826.35-683115.1	19.4543.3947 			u	LPV.-20709	400	C-AGB          	05 08 26.27	-68 31 15.01
19439	SSTISAGEMA_J051832.64-692525.5	SSTM1SAGE1_J051832.71-692525.3	118894982	1006878178	1539241788	1529291153	1601326596	79.636021	-69.423751	99.999	99.999	20.474	0.171	17.184	0.067	14.097	0.056	12.35	0.01	11.23	0.01	10.433	0.021	9.761	0.022	9.928	0.018	9.991	0.027	9.465	0.027	9.137	0.034	83	83		    CAGB	79.636	-69.4238	22419712	40159	      Kemper		20.474	17.184	14.097	OGLE-LMC-LPV-39261	17.537	14.359	0.182	171.39	2MASS J05183266-6925253	12.256	11.086	10.433	05183266-6925254	12.35	11.23		SSTISAGEMA J051832.64-692525.5	9.7631	9.9267	9.9827	9.4725	0.03494	0.01922	0.0117	0.0106	SSTM1SAGE2 J051832.66-692525.7	9.1707	0.0015															-4.65			0	83		MC J051832.64-692525.5	78.6224.39   	256	269		LPV.-39261	171	C-AGB          	05 18 32.63	-69 25 25.59
20065	SSTISAGEMA_J051908.46-692314.3	SSTM1SAGE1_J051908.52-692314.4	107220633	1007030678	1539313295	1529278302	1600421613	79.785274	-69.38731	20.859	0.502	19.867	0.108	16.261	0.061	13.533	0.079	12.04	0.02	10.98	0.02	10.054	0.021	9.543	0.036	9.663	0.017	9.601	0.023	9.056	0.026	8.502	0.034	86	86		    CAGB	79.7857	-69.3873	22419968	40159	      Kemper	20.859	19.867	16.261	13.533	OGLE-LMC-LPV-40384	16.774	13.833	0.157	188.15	2MASS J05190849-6923141	11.783	10.653	10.054	05190849-6923141	12.04	10.98		SSTISAGEMA J051908.46-692314.3	9.5332	9.663	9.5995	9.0721	0.04318	0.02451	0.0166	0.0153	SSTM1SAGE1 J051908.52-692314.4	8.5258	0.0028															-5.01			0	86		MC J051908.46-692314.3	80.6345.4422 	351	398		LPV.-40384	188	C-AGB          	05 19 08.52	-69 23 14.44
47036	SSTISAGEMA_J052405.31-681802.5	SSTM1SAGE1_J052405.23-681802.4	0	1008276300	1539899983	1529271018	1618388974	81.022162	-68.300713	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	13.73	0.02	12.26	0.01	11.03	0.02	9.63	0.024	9.102	0.018	8.63	0.031	8.245	0.016	7.558	0.027	103	103		    CAGB	81.022	-68.3006	22424832	40159	      Kemper					OGLE-LMC-LPV-50988	20.563	16.995	1.232	329.5	2MASS J05240532-6818025	15.118	13.344	11.784	05240533-6818025	13.73	12.26	11.03	SSTISAGEMA J052405.31-681802.5	9.5738	9.1304	8.7162	8.2807	0.0416	0.04003	0.0375	0.0316	SSTM1SAGE1 J052405.23-681802.4	7.5982	0.0066															-4.01			0	103		MC J052405.31-681802.5	4.7087.2529  	304	387		LPV.-50988	330	C-AGB          	05 24 05.25	-68 18 01.99
24281	SSTISAGEMA_J052445.38-691605.3	SSTM1SAGE1_J052445.28-691605.3	108272048	1008446904	1539979473	1529269070	1619491458	81.189116	-69.268163	99.999	99.999	21.098	0.11	17.549	0.052	14.502	0.039	13.42	0.02	12.03	0.02	9.927	0.021	9.064	0.04	8.565	0.029	8.121	0.021	7.821	0.018	6.982	0.02	105	105		    CAGB	81.189	-69.2682	22425344	40159	      Kemper		21.098	17.549	14.502	OGLE-LMC-LPV-52434	18.632	15.815	1.488	402.8	2MASS J05244540-6916053	12.261	10.904	9.927	05244540-6916054	13.42	12.03		SSTISAGEMA J052445.38-691605.3	9.0558	8.5638	8.1218	7.8372	0.06702	0.06746	0.0649	0.0476	SSTM1SAGE1 J052445.28-691605.3	7.0507	0.0108															-4.97			0	105	OGLE J052445.53-691605.6 	MC J052445.38-691605.3	80.7194.86   	399	401		LPV.-52434	403	C-AGB          	05 24 45.36	-69 16 05.53
46150	SSTISAGEMA_J052805.91-700753.4	SSTM1SAGE1_J052805.90-700753.7	0	1009323720	1540378714	1529268178	1619658979	82.024629	-70.131505	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.05	0.02	10.8	0.02	9.986	0.02	8.945	0.026	8.842	0.031	8.752	0.023	8.286	0.019	6.592	0.018	119	119	     SHV 0528350-701014	    CAGB	82.0246	-70.1317	22428160	40159	      Kemper					OGLE-LMC-LPV-59143	17.891	14.338	0.808	476.3	2MASS J05280591-7007535	12.336	10.972	9.986	05280592-7007536	12.05	10.8		SSTISAGEMA J052805.91-700753.4	8.9374	8.8431	8.7538	8.2992	0.07475	0.05215	0.0362	0.0311	SSTM1SAGE1 J052805.90-700753.7	6.5315	0.0175															-5.03			0	119	SHV 0528350-701014       	MC J052805.91-700753.4					LPV.-59143	476	C-AGB          	05 28 05.91	-70 07 54.03
26936	SSTISAGEMA_J052825.81-694647.3	SSTM1SAGE1_J052825.80-694647.5	108956677	1009411257	1540418133	1529284131	1619968983	82.107568	-69.779813	20.585	0.313	17.266	0.095	15.863	0.051	13.37	0.077	11.96	0.02	10.98	0.01	10.48	0.02	9.886	0.019	9.928	0.022	9.771	0.026	9.357	0.03	8.858	0.036	120	120		    CAGB	82.1076	-69.7799	22428416	40159	      Kemper	20.585	17.266	15.863	13.37	OGLE-LMC-LPV-59817	16.234	13.715	0.071	133.48	2MASS J05282581-6946474	11.845	10.833	10.4	05282582-6946474	11.96	10.98	10.48	SSTISAGEMA J052825.81-694647.3	9.8876	9.9267	9.7726	9.3681	0.03115	0.01922	0.0142	0.0116	SSTM1SAGE1 J052825.80-694647.5	8.8977	0.002															-4.9			0	120	OGLE J052825.96-694647.4 	MC J052825.81-694647.3					LPV.-59817	133	C-AGB          	05 28 25.86	-69 46 47.45
57661	SSTISAGEMA_J053158.92-724436.0	SSTM1SAGE1_J053158.98-724436.5	0	0	1540833686	1529294848	0	82.995536	-72.743341	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.591	0.028	11.527	0.028	11.131	0.025	10.604	0.024	10.658	0.025	10.463	0.024	10.191	0.026	9.256	0.05	132	132	               KDM 4665	    CAGB	82.9958	-72.7434	22431232	40159	      Kemper										2MASS J05315893-7244360	12.591	11.527	11.131					SSTISAGEMA J053158.92-724436.0	10.603	10.6596	10.4541	10.2037	0.01612	0.009788	0.0076	0.0054	SSTM1SAGE1 J053158.98-724436.5	9.3431	0.0013															-3.93			0	132	KDM 4665                 	MC J053158.92-724436.0	35.8352.3    	118	212				C-AGB          	05 31 58.96	-72 44 36.35
59574	SSTISAGEMA_J053226.51-731006.8	SSTM1SAGE1_J053226.37-731007.2	0	0	1540885585	1529297526	0	83.110477	-73.168579	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.168	0.024	11.022	0.025	10.45	0.02	9.865	0.026	10.023	0.02	9.981	0.028	9.551	0.024	9.333	0.069	136	136	               KDM 4718	    CAGB	83.1105	-73.1686	22432256	40159	      Kemper										2MASS J05322652-7310068	12.168	11.022	10.45					SSTISAGEMA J053226.51-731006.8	9.8638	10.0282	9.978	9.5595	0.03184	0.01751	0.0117	0.0097	SSTM1SAGE1 J053226.37-731007.2	9.2569	0.0014															-4.53			0	136	KDM 4718                 	MC J053226.51-731006.8							C-AGB          	05 32 26.52	-73 10 06.99
30437	SSTISAGEMA_J053254.99-673647.2	SSTM1SAGE1_J053255.03-673646.9	121300069	1010621388	1540938964	1529275589	0	83.22916	-67.613113	19.481	0.094	18.177	0.024	16.281	0.077	13.616	0.052	11.9	0.02	10.92	0.02	10.47	0.03	9.812	0.019	9.775	0.013	9.526	0.02	9.107	0.018	8.258	0.025	139	139	               KDM 4774	    CAGB	83.2291	-67.6131	22433024	40159	      Kemper	19.481	18.177	16.281	13.616						2MASS J05325500-6736471	11.943	10.886	10.411	05325500-6736471	11.9	10.92	10.47	SSTISAGEMA J053254.99-673647.2	9.8128	9.801	9.5324	9.1324	0.03337	0.02159	0.0177	0.0144	SSTM1SAGE1 J053255.03-673646.9	8.2731	0.0035															-4.88			0	139	KDM 4774                 	MC J053254.99-673647.2							C-AGB          	05 32 54.98	-67 36 47.10
46168	SSTISAGEMA_J053318.58-660040.2	SSTM1SAGE1_J053318.58-660040.3	0	1010727766	1540982595	1529268546	0	83.327431	-66.01118	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	14.06	0.02	12.49	0.01	11.02	0.02	9.597	0.027	8.999	0.031	8.481	0.022	7.873	0.02	6.76	0.018	141	141		    CAGB	83.3275	-66.0111	22433280	40159	      Kemper										2MASS J05331859-6600401	15.135	13.31	11.762	05331859-6600402	14.06	12.49	11.02	SSTISAGEMA J053318.58-660040.2	9.5919	9.0043	8.4839	7.8857	0.0409	0.04496	0.0465	0.0455	SSTM1SAGE1 J053318.58-660040.3	6.8073	0.0136															-4.18			0	141		MC J053318.58-660040.2	64.8695.450  			u			C-AGB          	05 33 18.61	-66 00 39.91
34504	SSTISAGEMA_J053441.40-692630.6	SSTM1SAGE1_J053441.36-692630.6	110128032	1011090490	1541132666	1529268493	1623100596	83.67252	-69.441857	99.999	99.999	22.778	0.447	20.716	0.107	14.857	0.04	14.88	0.01	12.78	0.01	11.02	0.02	9.007	0.036	8.275	0.025	7.786	0.018	7.264	0.017	6.736	0.023	145	145		    CAGB	83.6727	-69.4419	22434304	40159	      Kemper		22.778	20.716	14.857	OGLE-LMC-LPV-71117	21.654	17.728	1.82	503.4	2MASS J05344142-6926307	12.465	10.992	9.911	05344142-6926307	14.88	12.78	11.02	SSTISAGEMA J053441.40-692630.6	9.0034	8.2904	7.78	7.282	0.07034	0.08677	0.0889	0.0793	SSTM1SAGE1 J053441.36-692630.6	6.7395	0.0144															-4.97			0	145		MC J053441.40-692630.6					LPV.-71117	503	C-AGB          	05 34 41.46	-69 26 30.74
37290	SSTISAGEMA_J054328.84-694243.7	SSTM1SAGE1_J054328.76-694244.1	111595247	1013175544	1541956792	1529276212	1631184894	85.870181	-69.712144	99.999	99.999	19.964	0.054	17.481	0.042	14.721	0.043	12.93	0.02	11.85	0.02	11.21	0.01	10.311	0.029	10.403	0.02	10.271	0.027	9.647	0.024	8.323	0.026	179	179	               KDM 5841	    CAGB	85.8699	-69.7122	22444032	40159	      Kemper		19.964	17.481	14.721	OGLE-LMC-LPV-81866	17.657	14.924	0.074	191.39	2MASS J05432880-6942437	12.93	11.704	11.09	05432880-6942438	12.93	11.85	11.21	SSTISAGEMA J054328.84-694243.7	10.3096	10.4006	10.2713	9.6609	0.02112	0.01242	0.009	0.0089	SSTM1SAGE1 J054328.76-694244.1	8.2958	0.0034															-4.04			0	179	KDM 5841                 	MC J054328.84-694243.7	76.10212.28  	417	918		LPV.-81866	191	C-AGB          	05 43 28.77	-69 42 43.88
