ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
29535	SSTISAGEMA_J053218.64-673145.9	SSTM1SAGE1_J053218.60-673145.9	116290479	1010458649	1540870934	1529272429	0	83.077708	-67.529419	13.043	0.01	13.494	0.01	12.696	0.01	99.999	99.999	9.704	0.023	8.939	0.025	8.643	0.025	8.47	0.025	8.648	0.024	8.446	0.018	8.365	0.015	7.841	0.024	134	134		     RSG	83.0778	-67.5295	22431744	40159	      Kemper	13.043	13.494	12.696							2MASS J05321865-6731459	9.704	8.939	8.643	05321866-6731459				SSTISAGEMA J053218.64-673145.9	8.4659	8.6423	8.4471	8.3782	0.1154	0.06275	0.0481	0.0289	SSTM1SAGE1 J053218.60-673145.9	7.8409	0.0052															-7.07	-7.34	4200	0	134		MC J053218.64-673145.9							RSG            	05 32 18.66	-67 31 46.16
29583	SSTISAGEMA_J053219.33-673120.5	SSTM1SAGE1_J053219.34-673120.6	109689062	1010461705	1540872235	1529266042	0	83.080546	-67.52238	99.999	99.999	14.955	0.079	12.619	0.108	99.999	99.999	9.261	0.024	8.378	0.033	8.048	0.029	7.821	0.027	7.827	0.021	7.472	0.016	6.934	0.014	5.17	0.008	135	135	    NGC 2011 SAGE IRS 1	     RSG	83.0805	-67.5223	22432000	40159	      Kemper		14.955	12.619							2MASS J05321933-6731205	9.261	8.378	8.048	05321934-6731205				SSTISAGEMA J053219.33-673120.5	7.8102	7.8142	7.467	6.941	0.2111	0.1346	0.1186	0.1086	SSTM1SAGE1 J053219.34-673120.6	5.2012	0.0596															-7.54	-7.41	3224	0	135	NGC 2011 SAGE IRS 1      	MC J053219.33-673120.5							RSG            	05 32 19.31	-67 31 20.34
31821	SSTISAGEMA_J053518.91-670219.5	SSTM1SAGE1_J053518.87-670219.8	121301052	1011255219	1541197374	1529265883	0	83.828823	-67.03876	16.85	0.043	15.233	0.015	12.759	0.119	99.999	99.999	9.541	0.026	8.706	0.027	8.336	0.027	7.971	0.023	8.033	0.029	7.766	0.016	7.368	0.016	4.992	0.009	147	147	                HV 2700	     RSG	83.8292	-67.0388	22434816	40159	      Kemper	16.85	15.233	12.759							2MASS J05351891-6702196	9.541	8.706	8.336	05351891-6702196				SSTISAGEMA J053518.91-670219.5	7.9754	8.0378	7.7561	7.3818	0.1813	0.1095	0.0908	0.0724	SSTM1SAGE1 J053518.87-670219.8	4.9458	0.0754															-7.27	-7.16	3262	0	147	HV 2700                  	MC J053518.91-670219.5							RSG            	05 35 19.01	-67 02 19.50
36626	SSTISAGEMA_J054157.40-691218.1	SSTM1SAGE1_J054157.37-691218.1	123738488	1012870237	1541824419	1529268817	0	85.489198	-69.205043	14.293	0.02	14.074	0.01	12.806	0.01	99.999	99.999	9.74	0.03	9.036	0.026	8.738	0.023	8.548	0.026	8.64	0.03	8.415	0.017	8.136	0.022	6.878	0.015	169	169	               W61 6-24	     RSG	85.4893	-69.2052	22440960	40159	      Kemper	14.293	14.074	12.806							2MASS J05415741-6912182	9.811	9.036	8.738	05415741-6912182	9.74			SSTISAGEMA J054157.40-691218.1	8.5429	8.6403	8.4138	8.1483	0.1075	0.06286	0.0496	0.0357	SSTM1SAGE1 J054157.37-691218.1	6.8913	0.0126															-6.95	-7.06	3800	0	169	W61 6-24                 	MC J054157.40-691218.1							RSG            	05 41 57.43	-69 12 18.61
36894	SSTISAGEMA_J054206.76-691231.1	SSTM1SAGE1_J054206.74-691231.0	114111296	1012903183	1541838259	1529267083	0	85.528173	-69.208663	12.423	0.04	12.564	0.02	12.566	0.01	99.999	99.999	9.72	0.03	8.85	0.03	8.807	0.023	8.538	0.028	8.562	0.035	8.192	0.018	7.618	0.02	6.016	0.017	171	171	2MASS J05420676-6912312	     RSG	85.5283	-69.2087	22441728	40159	      Kemper	12.423	12.564	12.566							2MASS J05420676-6912312	9.977	9.15	8.807	05420676-6912312	9.72	8.85		SSTISAGEMA J054206.76-691231.1	8.5424	8.5609	8.1943	7.6321	0.1076	0.06764	0.0607	0.0575	SSTM1SAGE1 J054206.74-691231.0	5.9444	0.03															-7.05	-7.47	4701	0	171	2MASS J05420676-6912312  	MC J054206.76-691231.1							RSG            	05 42 06.76	-69 12 31.35
37015	SSTISAGEMA_J054209.95-691328.7	SSTM1SAGE1_J054209.90-691328.8	111374153	1012914437	1541842980	1529267169	0	85.541484	-69.224665	17.956	0.076	16.063	0.036	13.932	0.046	11.471	0.055	9.85	0.02	9.15	0.022	8.823	0.023	8.479	0.025	8.578	0.027	8.241	0.019	7.777	0.019	6.062	0.014	172	172	               W61 6-57	     RSG	85.5416	-69.2247	22441984	40159	      Kemper	17.956	16.063	13.932	11.471						2MASS J05420995-6913288	10.021	9.15	8.823	05420996-6913288	9.85			SSTISAGEMA J054209.95-691328.7	8.4801	8.5783	8.2488	7.79	0.1139	0.06656	0.0577	0.0497	SSTM1SAGE1 J054209.90-691328.8	6.0484	0.0273															-6.66	-6.52	3192	0	172	W61 6-57                 	MC J054209.95-691328.7							RSG            	05 42 09.98	-69 13 28.76
1688	SSTISAGEMA_J044941.47-683751.0	SSTM1SAGE1_J044941.45-683751.2	102343746	1000806983	1536574787	1529264889	1616497316	72.422833	-68.63086	99.999	99.999	22.774	0.334	19.353	0.063	12.198	0.099	99.999	99.999	99.999	99.999	99.999	99.999	6.918	0.041	6.363	0.022	6.096	0.04	5.031	0.036	2.534	0.006	216	4024	        IRAS 04498-6842	     RSG	72.4228	-68.6308	6076672	1094	      Kemper		22.774	19.353	12.198	OGLE-LMC-LPV-03910	20.808	13.283	3.734	1250	2MASS J04494147-6837514	9.13	8.047	7.486	04494147-6837513				SSTISAGEMA J044941.47-683751.0	6.7386	6.3882	5.9623	4.9066	0.5664	0.5003	0.474	0.7073	SSTM1SAGE1 J044941.45-683751.2	2.6573	0.6203															-7.85			0												
45758	SSTISAGEMA_J045040.45-691731.9	SSTM1SAGE1_J045040.45-691731.9	0	1000948928	1536621919	1529264909	1615502361	72.66858	-69.292215	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	10.9	0.01	8.67	0.065	7.928	0.024	7.306	0.032	6.898	0.027	6.64	0.019	5.603	0.025	2.68	0.007	220	4031	        IRAS 04509-6922	     RSG	72.6685	-69.2922	6022400	200	       Houck					OGLE-LMC-LPV-04312	20.724	14.22	3.415	1265	2MASS J04504046-6917319	9.874	8.67	7.928	04504046-6917319	10.9			SSTISAGEMA J045040.45-691731.9	7.3902	7.0353	6.6405	5.616	0.3108	0.2757	0.2538	0.368	SSTM1SAGE1 J045040.45-691731.9	2.7819	0.5531															-7.51	-7.33	2673	0												
10647	SSTISAGEMA_J050533.50-703346.8	SSTM1SAGE1_J050533.48-703346.6	122147739	1003735864	1537770153	1529265268	0	76.38961	-70.563019	14.453	0.02	14.374	0.01	12.976	0.01	11.124	0.177	8.828	0.027	8.002	0.033	7.638	0.026	7.286	0.039	7.285	0.025	6.996	0.022	6.487	0.024	3.976	0.006	334	4199	                 HV 894	     RSG	76.3895	-70.563	10960896	3426	     Kastner	14.453	14.374	12.976	11.124						2MASS J05053350-7033469	8.828	8.002	7.638	05053351-7033469				SSTISAGEMA J050533.50-703346.8	7.2841	7.2863	6.9959	6.5005	0.3427	0.2188	0.183	0.163	SSTM1SAGE1 J050533.48-703346.6	3.9534	0.188															-7.77	-7.76	3385	0												
16903	SSTISAGEMA_J051449.74-672719.6	SSTM1SAGE1_J051449.76-672719.9	113555379	1005956212	1538798383	1529265232	0	78.707253	-67.455454	16.672	0.116	14.468	0.029	12.296	0.025	9.675	0.081	8.639	0.018	7.784	0.021	7.421	0.017	7	0.036	6.919	0.027	6.602	0.018	6.085	0.025	3.885	0.007	405	4283	                 HV 916	     RSG	78.7073	-67.4554	10962688	3426	     Kastner	16.672	14.468	12.296	9.675						2MASS J05144972-6727197	8.639	7.784	7.421	05144973-6727197				SSTISAGEMA J051449.74-672719.6	6.9927	6.9171	6.6021	6.0988	0.4482	0.3074	0.263	0.2359	SSTM1SAGE1 J051449.76-672719.9	3.8369	0.2093															-8.17	-8.01	3213	0												
