ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
10032	SSTISAGEMA_J050451.70-663807.5	SSTM1SAGE1_J050451.66-663807.6	104712087	1003578477	1537698951	1529265140	1607518231	76.215453	-66.635444	14.965	0.059	15.941	0.051	15.295	0.057	14.3	0.095	13.93	0.02	13.15	0.02	12.2	0.02	10.489	0.033	9.873	0.023	9.057	0.049	7.944	0.054	3.598	0.005	40	40	        IRAS 05047-6642	    YSO3	76.2154	-66.6354	24317440	40159	      Kemper	14.965	15.941	15.295	14.3						2MASS J05045169-6638074	13.984	13.173	12.223	05045172-6638075	13.93	13.15	12.2	SSTISAGEMA J050451.70-663807.5	10.4905	9.8725	9.0683	7.9623	0.01788	0.02021	0.0271	0.0424	SSTM1SAGE1 J050451.66-663807.6	3.5982	0.2608	SSTM2SAGECC J050451.73-663808.0	-1.177	2300	SSTM3SAGECC J050449.44-663802.6	-3.179	2991	J76.214675-66.635279	76.2147	-66.6353	968	1085	631.5	332.2	341	-5.62			0	40	IRAS 05047-6642          	MC J050451.70-663807.5	53.3966.918  	20					YSO-3          	05 04 51.71	-66 38 07.41
22008	SSTISAGEMA_J052222.95-684101.2	SSTM1SAGE1_J052222.78-684101.1	107811698	1007839551	1539698450	1529265837	1601486552	80.595653	-68.683669	18.141	0.087	19.48	0.132	18.679	0.141	18.227	0.141	15.77	0.03	14.96	0.03	13.81	0.03	11.903	0.046	11.278	0.032	9.963	0.062	8.419	0.051	4.933	0.009	97	97		    YSO3	80.5956	-68.6836	22422784	40159	      Kemper	18.141	19.48	18.679	18.227						2MASS J05222295-6841011	15.574	14.664	13.667	05222295-6841012	15.77	14.96	13.81	SSTISAGEMA J052222.95-684101.2	11.8746	11.2752	9.9601	8.4337	0.004997	0.005552	0.0119	0.0275	SSTM1SAGE1 J052222.78-684101.1	4.9201	0.0772	SSTM2SAGECC J052223.38-684100.4	0.3819	547.3				J80.595626-68.683509	80.5956	-68.6835	765.5	865.7	593.7	433	212.5	-4.57			0	97		MC J052222.95-684101.2							YSO-3          	05 22 22.98	-68 41 00.72
26306	SSTISAGEMA_J052723.14-712426.3	SSTM1SAGE1_J052723.14-712426.3	108757784	1009138490	1540293856	1529265315	1622117751	81.846454	-71.407313	20.495	0.207	21.032	0.136	20.265	0.101	19.049	0.071	17.71	0.05	16.94	0.06	16.18	0.09	13.85	0.085	13.452	0.038	11.016	0.039	9.152	0.036	4.067	0.009	114	114		    YSO3	81.8468	-71.4071	22426880	40159	      Kemper	20.495	21.032	20.265	19.049						2MASS J05272312-7124264	17.33		15.907	05272316-7124262	17.71	16.94	16.18	SSTISAGEMA J052723.14-712426.3	13.8504	13.4509	11.0176	9.1692	0.0008098	0.0007485	0.0045	0.014	SSTM1SAGE1 J052723.14-712426.3	4.0678	0.1692	SSTM2SAGECC J052723.32-712426.8	0.29	595.7				 J81.844834-71.40723	81.8448	-71.4072	568	398.6	316	132.4		-3.94			0	114		MC J052723.14-712426.3							YSO-3          	05 27 23.24	-71 24 25.41
46371	SSTISAGEMA_J053942.45-711044.5	SSTM1SAGE1_J053942.31-711044.8	0	1012369737	1541622369	1529266959	1629495052	84.926878	-71.17904	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	18.47	0.11	17.16	0.09	14.95	0.03	12.105	0.038	11.206	0.029	10.194	0.021	8.929	0.022	5.94	0.015	158	158		    YSO3	84.9267	-71.1791	22437888	40159	      Kemper										2MASS J05394249-7110445			14.949	05394250-7110446	18.47	17.16	14.95	SSTISAGEMA J053942.45-711044.5	12.0777	11.1882	10.1613	8.9418	0.004145	0.006016	0.0099	0.0172	SSTM1SAGE1 J053942.31-711044.8	5.9666	0.0294							J84.925504-71.179175	84.9255	-71.1792	417.7	375.8	281.2			-2.59			0	158		MC J053942.45-711044.5							YSO-3          	05 39 42.37	-71 10 45.03
72718	SSTISAGEMA_J054059.31-704402.5	SSTM1SAGE1_J054059.25-704402.5	0	1012658800	1541737276	1529265200	1628221116	85.247134	-70.734052	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	16.81	0.07	15.15	0.05	11.986	0.049	10.604	0.031	9.563	0.03	8.343	0.021	3.802	0.007	164	164		    YSO3	85.247	-70.7341	22439936	40159	      Kemper										2MASS J05405936-7044026		16.375	14.829	05405932-7044026		16.81	15.15	SSTISAGEMA J054059.31-704402.5	11.9839	10.6134	9.5617	8.3533	0.004519	0.01021	0.0172	0.0296	SSTM1SAGE1 J054059.25-704402.5	3.8186	0.2129	SSTM2SAGECC J054059.32-704359.6	-0.4784	1209												-4.6			0	164		MC J054059.31-704402.5							YSO-3          	05 40 59.28	-70 44 02.82
4973	SSTISAGEMA_J045534.07-655701.3	SSTM1SAGE1_J045534.16-655701.2	103128446	1001744487	1536908443	1529265519	0	73.891984	-65.950388	18.168	0.082	19.239	0.048	18.901	0.044	17.923	0.036	17.37	0.03	16.36	0.04	14.48	0.02	11.111	0.027	9.922	0.024	8.892	0.024	7.679	0.019	4.425	0.011	21	21		    YSO4	73.892	-65.9503	24318976	40159	      Kemper	18.168	19.239	18.901	17.923						2MASS J04553408-6557013	17.322	16.323	14.383	04553409-6557014	17.37	16.36	14.48	SSTISAGEMA J045534.07-655701.3	11.1245	9.9219	8.8953	7.692	0.009972	0.01931	0.0318	0.0544	SSTM1SAGE1 J045534.16-655701.2	4.3506	0.1304															-3.99			0	21		MC J045534.07-655701.3							YSO-4          	04 55 34.06	-65 57 00.92
7193	SSTISAGEMA_J050032.61-662113.0	SSTM1SAGE1_J050032.60-662112.9	103951816	1002675738	1537291667	1529269269	0	75.135912	-66.353621	21.051	0.296	21.146	0.121	20.496	0.108	19.055	0.099	18.85	0.12	17.36	0.07	16.29	0.08	13.968	0.044	13.139	0.033	11.99	0.043	10.523	0.027	7.045	0.018	25	25		    YSO4	75.1358	-66.3535	22405632	40159	      Kemper	21.051	21.146	20.496	19.055						2MASS J05003264-6621130	17.655	16.716	15.706	05003260-6621133	18.85	17.36	16.29	SSTISAGEMA J050032.61-662113.0	13.969	13.1394	11.9882	10.5417	0.000726	0.0009972	0.0018	0.0039	SSTM1SAGE1 J050032.60-662112.9	7.0388	0.011															-1.97			0	25		MC J050032.61-662113.0							YSO-4          	05 00 32.59	-66 21 12.60
14902	SSTISAGEMA_J051209.02-710649.7	SSTM1SAGE1_J051209.02-710649.5	105999983	1005302606	1538488431	1529265694	1607203879	78.037595	-71.113818	14.098	0.03	14.464	0.03	14.267	0.021	13.903	0.035	13.74	0.01	13.28	0.01	12.28	0.01	10.105	0.029	9.324	0.018	8.601	0.021	7.477	0.019	4.727	0.008	62	62	            MSX LMC 209	    YSO4	78.0381	-71.1138	22414592	40159	      Kemper	14.098	14.464	14.267	13.903	OGLE-LMC-LPV-26931	14.289	13.918	0.03	28.474	2MASS J05120902-7106496	13.715	13.192	12.107	05120904-7106497	13.74	13.28	12.28	SSTISAGEMA J051209.02-710649.7	10.1091	9.3265	8.6009	7.4873	0.02541	0.03342	0.0417	0.0657	SSTM1SAGE1 J051209.02-710649.5	4.7111	0.0936	SSTM2SAGECC J051209.31-710650.5	3.121	43.93												-4.88			0	62	MSX LMC 209              	MC J051209.02-710649.7					LPV.-26931	28	YSO-4          	05 12 09.19	-71 06 49.52
24006	SSTISAGEMA_J052023.97-695423.2	SSTM1SAGE1_J052023.95-695423.6	112810444	1007354194	1539461672	1529265143	1602304492	80.099912	-69.906449	18.424	0.076	18.246	0.051	17.063	0.055	16.09	0.06	15.63	0.01	14.94	0.02	13.8	0.01	99.999	99.999	10.343	0.022	9.502	0.021	8.46	0.016	3.607	0.007	90	90		    YSO4	80.1	-69.9065	22420992	40159	      Kemper	18.424	18.246	17.063	16.09						2MASS J05202396-6954232	15.63	14.937	13.803	05202398-6954233	15.63	14.94	13.8	SSTISAGEMA J052023.97-695423.2	11.3231	10.3403	9.5016	8.4719	0.008305	0.01314	0.0182	0.0265	SSTM1SAGE1 J052023.95-695423.6	3.6074	0.2586															-4.09			0	90		MC J052023.97-695423.2	78.6458.125  			u			YSO-4          	05 20 23.97	-69 54 23.08
25173	SSTISAGEMA_J052457.85-672458.3	SSTM1SAGE1_J052457.81-672458.4	114013623	1008497986	1540004299	1529271183	0	81.241067	-67.416213	14.338	0.033	14.774	0.014	14.672	0.053	14.336	0.032	13.91	0.01	13.33	0.01	12.46	0.01	10.998	0.028	10.438	0.021	9.981	0.028	9.347	0.024	7.589	0.031	106	106	           LHA 120-S 33	    YSO4	81.2411	-67.4162	22425600	40159	      Kemper	14.338	14.774	14.672	14.336						2MASS J05245787-6724583	13.916	13.275	12.513	05245787-6724583	13.91	13.33	12.46	SSTISAGEMA J052457.85-672458.3	10.9998	10.4371	9.9785	9.3643	0.01118	0.01201	0.0117	0.0117	SSTM1SAGE1 J052457.81-672458.4	7.6528	0.0062															-4.11			0	106	LHa 120-S 33             	MC J052457.85-672458.3							YSO-4          	05 24 57.86	-67 24 58.43
