ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
19333	SSTISAGEMA_J051747.18-681842.6	SSTM1SAGE1_J051747.09-681842.6	113295602	1006696397	1539150338	1529284121	1602141773	79.446609	-68.31186	99.999	99.999	19.743	0.119	17.727	0.1	14.757	0.049	13.15	0.02	12.28	0.01	11.98	0.01	11.683	0.028	11.586	0.024	11.403	0.037	10.679	0.031	8.857	0.055	79	79		    OAGB	79.4466	-68.3119	22418688	40159	      Kemper		19.743	17.727	14.757	OGLE-LMC-LPV-37798	17.568	14.785	0.092	79.5	2MASS J05174720-6818426	13.137	12.175	11.902	05174720-6818426	13.15	12.28	11.98	SSTISAGEMA J051747.18-681842.6	11.6779	11.5846	11.4029	10.6925	0.005989	0.004176	0.0032	0.0034	SSTM1SAGE1 J051747.09-681842.6	8.8379	0.0021															-3.5	-3.32	2956	0	79		MC J051747.18-681842.6					LPV.-37798	80	O-AGB          	05 17 47.16	-68 18 42.64
19182	SSTISAGEMA_J051811.08-672648.5	SSTM1SAGE1_J051811.10-672648.6	116108698	1006791558	1539198310	1529268826	0	79.546194	-67.446818	18.213	0.053	17.002	0.038	15.104	0.021	11.838	0.042	10.29	0.02	9.4	0.03	9.064	0.025	8.798	0.034	8.92	0.04	8.625	0.022	8.464	0.022	6.881	0.017	82	82	                HV 5715	    OAGB	79.546	-67.4469	22419456	40159	      Kemper	18.213	17.002	15.104	11.838						2MASS J05181108-6726486	10.364	9.433	9.064	05181108-6726487	10.29	9.4		SSTISAGEMA J051811.08-672648.5	8.7879	8.923	8.6328	8.475	0.08579	0.04845	0.0405	0.0264	SSTM1SAGE1 J051811.10-672648.6	6.9327	0.0121															-6.32	-6.16	3100	0	82	HV 5715                  	MC J051811.08-672648.5	49.6132.10   	416	886				O-AGB          	05 18 11.05	-67 26 48.92
20431	SSTISAGEMA_J052014.24-702931.0	SSTM1SAGE1_J052014.08-702931.0	123823642	1007314740	1539442281	1529294012	1603087638	80.059335	-70.491951	20.209	0.108	18.281	0.057	16.575	0.155	14.017	0.053	12.43	0.02	11.58	0.01	11.26	0.02	11.111	0.03	11.041	0.026	10.902	0.031	10.654	0.033	9.231	0.049	89	89		    OAGB	80.0597	-70.492	22420736	40159	      Kemper	20.209	18.281	16.575	14.017	OGLE-LMC-LPV-42635	16.573	14.01	0.175	685.9	2MASS J05201425-7029309	12.528	11.571	11.282	05201425-7029310	12.43	11.58	11.26	SSTISAGEMA J052014.24-702931.0	11.1133	11.0504	10.8944	10.6573	0.01008	0.00683	0.005	0.0035	SSTM1SAGE1 J052014.08-702931.0	9.3703	0.0013															-4.16	-4.03	3222	0	89		MC J052014.24-702931.0	6.6450.20    	423	624		LPV.-42635	686	O-AGB          	05 20 14.31	-70 29 31.33
49522	SSTISAGEMA_J052051.83-693407.6	SSTM1SAGE1_J052051.84-693407.8	0	1007465416	1539517208	1529276437	1602574375	80.215982	-69.568783	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.31	0.01	11.47	0.01	11.14	0.01	10.828	0.026	10.803	0.021	10.619	0.032	10.201	0.023	8.346	0.025	91	91		    OAGB	80.216	-69.5689	22421248	40159	      Kemper					OGLE-LMC-LPV-43982	17.174	14.114	0.323	779	2MASS J05205184-6934076	12.358	11.41	11.084	05205183-6934077	12.31	11.47	11.14	SSTISAGEMA J052051.83-693407.6	10.8319	10.8079	10.6193	10.2223	0.01306	0.008539	0.0065	0.0053	SSTM1SAGE1 J052051.84-693407.8	8.3633	0.0032															-4.02	-4.16	2673	0	91		MC J052051.83-693407.6	78.6584.36   	732	770		LPV.-43982	779	O-AGB          	05 20 51.86	-69 34 08.04
21092	SSTISAGEMA_J052101.66-691417.5	SSTM1SAGE1_J052101.65-691417.4	113482772	1007507208	1539536731	1529270522	1600592829	80.256923	-69.238207	20.021	0.162	17.903	0.063	16.189	0.054	13.372	0.125	11.7	0.02	10.83	0.02	10.52	0.025	10.222	0.019	10.343	0.02	10.109	0.022	9.404	0.022	7.431	0.02	93	93		    OAGB	80.257	-69.2381	22421760	40159	      Kemper	20.021	17.903	16.189	13.372	OGLE-LMC-LPV-44309	16.227	13.386	0.088	92.19	2MASS J05210166-6914174	11.718	10.809	10.52	05210166-6914174	11.7	10.83		SSTISAGEMA J052101.66-691417.5	10.232	10.3391	10.1175	9.4257	0.02269	0.01315	0.0103	0.011	SSTM1SAGE1 J052101.65-691417.4	7.4099	0.0078															-4.93	-4.75	3100	0	93		MC J052101.66-691417.5	80.6589.15   	130	217		LPV.-44309	92	O-AGB          	05 21 01.71	-69 14 17.07
21867	SSTISAGEMA_J052206.92-715017.7	SSTM1SAGE1_J052206.94-715017.7	116998066	1007772592	1539666536	1529271720	1603911327	80.528853	-71.838263	19.545	0.167	18.459	0.039	16.738	0.038	13.832	0.037	12.41	0.01	11.59	0.01	11.28	0.01	10.998	0.026	10.947	0.022	10.736	0.031	9.661	0.022	7.708	0.024	96	96		    OAGB	80.5288	-71.8383	22422528	40159	      Kemper	19.545	18.459	16.738	13.832	OGLE-LMC-LPV-46603	16.775	14.036	0.061	81.24	2MASS J05220692-7150177	12.404	11.472	11.203	05220693-7150177	12.41	11.59	11.28	SSTISAGEMA J052206.92-715017.7	11.0032	10.9564	10.7354	9.678	0.01115	0.007447	0.0058	0.0087	SSTM1SAGE1 J052206.94-715017.7	7.7046	0.0059															-4.28	-4.15	3227	0	96		MC J052206.92-715017.7					LPV.-46603	81	O-AGB          	05 22 06.91	-71 50 17.89
22408	SSTISAGEMA_J052254.97-693651.7	SSTM1SAGE1_J052254.98-693652.0	107925497	1007973098	1539761481	1529277930	1620208785	80.729077	-69.614388	99.999	99.999	18.311	0.091	16.841	0.083	14.203	0.053	12.83	0.02	12.03	0.01	11.67	0.01	11.185	0.039	11.046	0.029	10.841	0.033	10.335	0.024	8.473	0.026	99	99	     SHV 0523185-693932	    OAGB	80.729	-69.6145	22423552	40159	      Kemper		18.311	16.841	14.203	OGLE-LMC-LPV-48376	17.8	14.687	0.963	208.3	2MASS J05225497-6936519	12.739	11.772	11.439	05225497-6936520	12.83	12.03	11.67	SSTISAGEMA J052254.97-693651.7	11.1816	11.0717	10.8447	10.3577	0.009461	0.006697	0.0053	0.0047	SSTM1SAGE1 J052254.98-693652.0	8.508	0.0028															-3.91	-3.87	3178	0	99	SHV 0523185-693932       	MC J052254.97-693651.7	78.6947.2742 	209	209		LPV.-48376	208	O-AGB          	05 22 54.96	-69 36 52.34
25385	SSTISAGEMA_J052620.10-693902.1	SSTM1SAGE1_J052620.11-693902.3	118264777	1008856658	1540168371	1529275415	1620065137	81.583789	-69.65061	21.33	0.527	19.693	0.174	17.641	0.051	14.216	0.199	12.15	0.01	11.3	0.01	10.96	0.01	10.653	0.021	10.819	0.02	10.544	0.021	10.207	0.023	8.239	0.028	110	110		    OAGB	81.5838	-69.6507	22426112	40159	      Kemper	21.33	19.693	17.641	14.216	OGLE-LMC-LPV-55565	17.848	14.234	0.392	810.2	2MASS J05262011-6939022	12.262	11.381	11.101	05262010-6939022	12.15	11.3	10.96	SSTISAGEMA J052620.10-693902.1	10.6466	10.8163	10.5397	10.2199	0.01548	0.008473	0.007	0.0053	SSTM1SAGE1 J052620.11-693902.3	8.2993	0.0034															-4.36	-4.1	2828	0	110	OGLE J052620.25-693902.4 	MC J052620.10-693902.1	77.7430.51   	820			LPV.-55565	810	O-AGB          	05 26 20.15	-69 39 02.59
30815	SSTISAGEMA_J053343.27-705921.1	SSTM1SAGE1_J053343.28-705921.7	121299373	1010834762	1541028050	1529279532	0	83.430321	-70.989213	16.799	0.061	15.856	0.071	14.775	0.057	12.043	0.146	10.9	0.02	9.99	0.03	9.646	0.026	9.416	0.044	9.57	0.019	9.383	0.028	9.32	0.023	8.594	0.029	142	142		    OAGB	83.43	-70.9892	22433536	40159	      Kemper	16.799	15.856	14.775	12.043	OGLE-LMC-LPV-69535	15.29	12.617	0.079	106.02	2MASS J05334325-7059209	10.893	9.952	9.646	05334324-7059211	10.9	9.99		SSTISAGEMA J053343.27-705921.1	9.4147	9.5687	9.3835	9.3272	0.04816	0.02674	0.0203	0.0121	SSTM1SAGE1 J053343.28-705921.7	8.5312	0.0028															-5.83	-5.79	3418	0	142		MC J053343.27-705921.1	14.8620.13   	151	182		LPV.-69535	106	O-AGB          	05 33 43.18	-70 59 21.16
30856	SSTISAGEMA_J053343.98-705901.9	SSTM1SAGE1_J053343.89-705902.1	109952270	1010838011	1541029325	1529278732	1625753249	83.433288	-70.983874	18.72	0.089	17.561	0.11	16.66	0.152	13.243	0.044	11.5	0.02	10.62	0.02	10.33	0.03	10.08	0.025	10.147	0.022	9.945	0.022	9.843	0.029	8.535	0.029	143	143		    OAGB	83.4334	-70.9837	22433792	40159	      Kemper	18.72	17.561	16.66	13.243	OGLE-LMC-LPV-69554	16.573	13.392	0.353	147.89	2MASS J05334396-7059017	11.495	10.556	10.225	05334397-7059018	11.5	10.62	10.33	SSTISAGEMA J053343.98-705901.9	10.069	10.1484	9.9533	9.8557	0.02636	0.01568	0.012	0.0074	SSTM1SAGE1 J053343.89-705902.1	8.5116	0.0028															-5.09	-5.02	3209	0	143		MC J053343.98-705901.9	14.8620.21   	146	1080		LPV.-69554	148	O-AGB          	05 33 44.00	-70 59 01.14
